Rank,Youtube Channel,Subscribers,Video Views,Video Count,Category,Started
428,Zach Choi ASMR,18000000,3879359888,742,People & Blogs,2014
429,SUPER SLICK SLIME SAM,18000000,6536886700,817,Howto & Style,2018
430,GRAMMY GOLD OFFICIAL,17900000,19096510006,5960,Music,2014
431,Demi Lovato,17900000,6692528239,302,Music,2008
432,Vlad and Niki ESP,17900000,6840934495,461,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2018
433,YOLO,17800000,1045473522,181,Comedy,2015
434,Lele Pons,17800000,5064880709,190,Comedy,2015
435,ArianaGrandeVevo,17800000,19536373590,177,Music,2010
436,Mother Goose Club Playhouse,17800000,15855344146,1355,Shows,2009
437,officialpsy,17800000,10278257112,123,Music,2010
438,Sebastián Yatra,17800000,9896953778,223,News & Politics,2013
439,TheGrefg,17800000,6224159661,3423,Gaming,2012
440,Lil Pump,17800000,4151057085,60,Music,2015
441,LIV Crime,17700000,9087666286,6847,People & Blogs,2020
442,Dhar Mann,17700000,10106144506,780,People & Blogs,2018
443,SQUEEZIE,17700000,9615343524,1496,Gaming,2011
444,RobleisIUTU,17600000,4945831582,1209,Entertainment,2013
445,Sidemen,17600000,4757429214,288,Entertainment,2015
446,شبكة العاب العرب | Arab Games Network,17600000,8214755372,5854,Gaming,2013
447,Porta dos Fundos,17600000,7507770910,2084,Entertainment,2012
448,unknown boy varun,17600000,6711838849,306,Music,2016
449,Goldmines Great Indian Comedy,17600000,4718631830,2240,Film & Animation,2016
450,JFlaMusic,17600000,3740227273,313,Music,2011
451,FactTechz,17600000,2174714518,629,Entertainment,2016
452,Alan Chikin Chow,17500000,18751898909,665,Comedy,2020
453,Dangal TV Channel,17500000,10634149767,13585,Entertainment,2017
454,Shemaroo Comedy,17500000,5521857617,3909,Entertainment,2007
455,Triggered Insaan,17500000,2890143198,279,Comedy,2014
456,Fede Vigevani,17500000,5618139731,938,Howto & Style,2009
457,Stubborn Facts,17400000,882443900,256,Film & Animation,2016
458,Smile Family Spanish,17400000,6613190306,391,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2019
459,Manual do Mundo,17400000,3695346065,2266,Howto & Style,2006
460,Jane ASMR 제인,17300000,6926201406,1719,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2012
461,李子柒 Liziqi,17300000,2885085503,128,Howto & Style,2017
462,PopularMMOs,17200000,14524539590,4685,Gaming,2012
463,SonyMusicSouthVEVO,17200000,16475440230,5392,Music,2014
464,IGN,17200000,15298075378,152548,Gaming,2006
465,الـريماس - Al-Remas,17200000,10987905421,2106,Music,2013
466,Jason Derulo,17200000,9153296657,496,Music,2008
467,Zuni and Family,17200000,6384571384,190,People & Blogs,2017
468,Liza Koshy,17200000,2607019595,189,Comedy,2013
469,Willyrex,17100000,4910825286,7169,Gaming,2009
470,Blippi - Educational Videos for Kids,17100000,13959924964,559,Education,2014
471,HowToBasic,17100000,3617767355,568,Howto & Style,2011
472,Akshay Nagwadiya,17000000,5989666543,421,Entertainment,2017
473,LuisFonsiVEVO,17000000,14253357504,96,Music,2009
474,Gaby and Alex,17000000,8040940941,353,Entertainment,2012
475,zbing z.,17000000,8750698468,2944,Gaming,2014
476,Anitta,17000000,6999595709,112,Music,2011
477,EeOneGuy,17000000,3816302459,366,Entertainment,2013
478,Katie Angel,17000000,3442581311,828,People & Blogs,2015
479,tanboy kun,17000000,3346610028,659,People & Blogs,2016
480,Ben Azelart,16900000,3253691948,267,Film & Animation,2014
481,Guava Juice,16900000,8960360548,1849,Gaming,2006
482,Busy Fun Ltd,16900000,6712353097,176,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2019
483,Doggy Doggy Cartoons,16800000,6498360254,4723,Entertainment,2012
484,Azhan5star,16800000,8351014001,507,Entertainment,2021
485,News24,16800000,7205305527,186542,News & Politics,2014
486,TheBrianMaps,16800000,4249047639,487,Comedy,2012
487,Apple,16800000,942922750,205,Science & Technology,2005
488,SMOL,16800000,18006604541,2813,People & Blogs,2021
489,MissaSinfonia,16800000,2103205523,231,Comedy,2011
490,Jason Vlogs,16700000,8294504544,712,Education,2015
491,TRANS TV Official,16700000,9293500431,136669,Entertainment,2014
492,And TV,16700000,13143495790,28646,Entertainment,2015
493,Les' Copaque Production,16700000,8363104683,1518,Film & Animation,2009
494,Wow Kidz Action,16700000,7351212171,1522,Film & Animation,2017
495,Miley Cyrus,16700000,6589244611,131,Entertainment,2009
496,Tu COSMOPOLIS,16700000,4984777868,7718,People & Blogs,2014
497,DeToxoMoroxo,16700000,2254760246,514,Entertainment,2012
498,Prajapati News,16700000,958355786,1242,Comedy,2013
499,Queen Official,16600000,10280190536,930,Music,2008
500,Like Nastya VNM,16600000,9054329371,517,Entertainment,2019
501,Spider Slack,16600000,9948034173,677,Comedy,2020
502,El Reino a Jugar,16600000,10834472832,923,Education,2015
503,Marques Brownlee,16600000,3320565650,1505,Science & Technology,2008
504,Werever2morro,16600000,2788971456,973,Entertainment,2007
505,Tsuriki Show,16600000,24308798996,2158,Entertainment,2019
506,The Game Theorists,16500000,3707682281,683,Gaming,2009
507,AMARINTV : อมรินทร์ทีวี,16500000,11868564808,102057,Entertainment,2014
508,VICE,16500000,4417232834,3786,Entertainment,2005
509,IDEAS EN 5 MINUTOS,16500000,3603087973,5070,Howto & Style,2017
510,Aayu and Pihu Show,16400000,8503559876,394,Comedy,2017
511,Travis Scott,16400000,7561196221,13,Music,2013
512,FailArmy,16300000,2474948866,381,Comedy,2011
513,Pop Chartbusters,16300000,8242919144,2184,Music,2011
514,ExtraPolinesios,16300000,4757748651,494,People & Blogs,2012
515,Kaykai Salaider,16300000,4356942977,410,Comedy,2011
516,Sandra Cires Art,16300000,3846664788,1071,Howto & Style,2011
517,W2S,16300000,4742756117,652,Gaming,2012
518,PANDA BOI,16300000,10742466800,798,Entertainment,2020
519,Ivana Alawi,16200000,1236540816,162,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2018
520,JJ Olatunji,16200000,3918358139,1243,Gaming,2011
521,Sagawa /さがわ,16200000,13685363296,4602,Entertainment,2021
522,Little Mix,16200000,7286908606,278,Music,2011
523,Boyce Avenue,16200000,6406528293,449,Music,2007
524,Gato Galactico | GALÁXIA,16200000,6004959028,2376,Film & Animation,2013
525,Kids Play,16100000,7878433444,568,Entertainment,2018
526,Canal IN,16100000,2632505818,723,People & Blogs,2017
527,Pitbull,16100000,11967155018,329,Music,2006
528,With Kids[위드키즈],16100000,8485722090,868,Entertainment,2012
529,FunFun Toy Doll TV,16100000,7196345505,716,Entertainment,2016
530,Camila Cabello,16100000,6348729079,80,Music,2015
531,Matt Stonie,16100000,3417845312,419,Entertainment,2012
532,Antrax,16100000,2996209632,675,Gaming,2015
533,Like Nastya IDN,16000000,6888875020,487,Entertainment,2019
534,RCTI - LAYAR DRAMA INDONESIA,16000000,12747937025,64854,Entertainment,2015
535,Jennifer Lopez,16000000,9858663362,234,Music,2005
536,AdMe,15900000,4252623917,5862,Entertainment,2015
537,jeffreestar,15900000,2592651786,433,Howto & Style,2006
538,DopeLyrics,15900000,9894008410,1981,Music,2016
539,Enes Batur,15900000,9619633601,1986,Gaming,2012
540,El Payaso Plim Plim,15900000,14409863239,1103,Film & Animation,2013
541,SAM SMITH,15900000,9495750368,158,Music,2012
542,SriBalajiMovies,15800000,8671201657,17382,Entertainment,2011
543,Lahari Music | T-Series,15800000,11199713086,8490,Music,2011
544,wifistudy,15800000,2928896155,49021,Education,2014
545,FitDance,15800000,6854636069,4126,Music,2013
546,T3ddy,15700000,2765806267,1797,Comedy,2012
547,Technoblade,15700000,1570800772,989,Gaming,2013
548,Rotten Tomatoes Trailers,15700000,12949835683,9944,Film & Animation,2011
549,Ch7HD,15700000,8793190045,47605,Entertainment,2010
550,Dyland PROS,15700000,1389142126,2275,Entertainment,2015
551,Live,15700000,,,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2015
552,Caeli YT,15600000,1510667954,551,Entertainment,2010
553,POPS Kids,15600000,9534315040,4607,Music,2014
554,GMMTV OFFICIAL​​,15600000,11557692368,21719,Entertainment,2010
555,NMF News,15600000,6782488106,102935,News & Politics,2013
556,Camilo,15600000,6432024424,118,Music,2010
557,BBC News Hindi,15600000,6342884945,18654,News & Politics,2009
558,News18 India,15600000,5860579687,150702,News & Politics,2007
559,MSA previously My Story Animated,15600000,6963014694,956,Film & Animation,2019
560,CoryxKenshin,15500000,6483995439,1674,Gaming,2009
561,LEGO,15500000,19694349295,29522,Entertainment,2005
562,Дима Масленников,15500000,2225693980,412,Entertainment,2014
563,Thairath Online,15400000,13366977081,225893,News & Politics,2010
564,La Rosa de Guadalupe,15400000,8901924388,6670,Entertainment,2015
565,Roman Atwood Vlogs,15400000,5462269239,1749,People & Blogs,2013
566,LOKESH GAMER,15400000,1592421777,1278,Gaming,2017
567,Kerajinan 5-Menit,15300000,4576518768,3781,People & Blogs,2018
568,MK MUSIC,15300000,8419062111,4854,Music,2010
569,Aphmau,15300000,15163928090,4184,Gaming,2012
570,Henrique e Juliano,15300000,13565040202,312,Music,2009
571,Volga Video,15300000,9504390823,19496,Film & Animation,2012
572,Super Senya,15300000,4983504473,489,Entertainment,2016
573,TWICE,15300000,4388859333,976,Music,2016
574,Zach King,15300000,2460524932,409,Entertainment,2013
575,IShowSpeed,15300000,1173340373,1217,Gaming,2016
576,5-Minute Crafts FAMILY,15300000,5866531040,3803,People & Blogs,2018
577,حِرف إبداعية في 5 دقائق,15300000,4334496018,4807,Howto & Style,2017
578,Musas,15200000,2376552971,612,Howto & Style,2012
579,Harsh Beniwal,15200000,1720782483,162,Comedy,2015
580,Oyuncak Avı,15200000,8244957082,625,Entertainment,2014
581,Bollywood Classics,15200000,6499358216,1265,Entertainment,2011
582,Talking Tom & Friends,15200000,6380721763,405,Entertainment,2010
583,Totoy kids - Español,15200000,5445559517,302,Film & Animation,2017
584,zayn,15200000,4721370622,14,Music,2016
585,Ranz Kyle,15100000,1726182121,508,People & Blogs,2008
586,Linus Tech Tips,15100000,6566938287,6048,Science & Technology,2008
587,Taarak Mehta Ka Ooltah Chashmah,15100000,9305643080,3506,Entertainment,2014
588,Marta and Rustam,15100000,16065818431,571,Comedy,2021
589,AdeleVEVO,15100000,11918454879,52,Music,2009
590,Ajay Sharma,15100000,10806573025,764,Entertainment,2012
591,Team Films Bhojpuri,15100000,6409533930,20099,Music,2014
592,Makiman131,15100000,4188172463,2987,Gaming,2013
593,TheRichest,15100000,2945021956,2286,Education,2014
594,League of Legends,15000000,6911362560,1324,Gaming,2009
595,NDTV India,15000000,6251404518,76615,News & Politics,2008
596,Arif muhammad,15000000,3717214603,480,People & Blogs,2017
597,Mariale,15000000,2670473667,2087,Howto & Style,2010
598,Niana Guerrero,15000000,1420188529,416,Entertainment,2013
599,Dave and Ava - Nursery Rhymes and Baby Songs,15000000,10218745464,779,Education,2014
600,Unspeakable,15000000,8230219714,713,Gaming,2016
601,НТВ,14900000,439098,1,People & Blogs,2008
602,BIGBANG,14900000,7577947855,776,Music,2005
603,Lyna,14900000,6168742287,4674,Gaming,2014
604,Zee Music Classic,14900000,5438012566,1292,Music,2014
605,Daftar Populer,14900000,2013468687,3336,Education,2017
606,Mobile Legends: Bang Bang Official,14900000,2994145139,3194,Gaming,2016
607,It's Mamix,14800000,1687036510,210,People & Blogs,2017
608,Vlad and Niki ARA,14800000,6904116984,456,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2019
609,Kwebbelkop,14800000,6745121120,5094,Gaming,2008
610,Genierock,14800000,13968497628,1612,Music,2008
611,Zé Neto e Cristiano,14800000,10783179824,276,Music,2012
612,UFC - Ultimate Fighting Championship,14800000,6018053330,13234,Sports,2006
613,Lachlan,14800000,5132197532,3754,Gaming,2013
614,ERB,14800000,3967426418,86,Entertainment,2006
615,iTownGamePlay *Terror&Diversión*,14800000,4878915354,8034,Entertainment,2012
616,Reaction Time,14700000,4250594230,1691,Entertainment,2015
617,Fueled By Ramen,14700000,12979351082,1201,Music,2006
618,Major Lazer Official,14700000,9119867025,415,Music,2009
619,Jorge & Mateus Oficial,14700000,8531197930,315,Music,2008
620,Blippi Español,14700000,8365145978,502,People & Blogs,2017
621,How Ridiculous,14700000,7038864747,611,Sports,2009
622,Planeta das Gêmeas,14700000,4561478126,925,People & Blogs,2015
623,MattyBRaps,14700000,3433181614,188,Music,2010
624,The Slow Mo Guys,14700000,2419017151,306,Entertainment,2010
625,CollegeHumor,14600000,7417360246,4234,Comedy,2006
626,حقائق وأسرار,14600000,2205484273,1343,Entertainment,2016
627,IDEIAS INCRÍVEIS,14600000,3526599957,5055,Howto & Style,2017
628,Dear Sir,14600000,1142389053,538,Education,2016
629,XpressTV,14600000,3776846510,661,Entertainment,2014
630,LeoNata Family,14600000,20308004462,1767,People & Blogs,2021
631,CNN,14600000,13163310550,157647,News & Politics,2005
632,ABS-CBN News,14600000,9938076313,183459,News & Politics,2009
633,PlayStation,14600000,4489317917,18950,Gaming,2005
634,Lilly Singh,14600000,3489663353,920,Comedy,2010
635,Canal Nostalgia,14600000,1470903214,417,Entertainment,2008
636,les boys tv2,14600000,4527781812,441,Entertainment,2017
637,Maha Fun Tv,14600000,1229782720,44,Entertainment,2017
638,O Canal do Joãozinho - Little Angel Português,14600000,8198866613,706,Entertainment,2018
639,Kuplinov ► Play,14600000,6250633875,6485,Gaming,2012
640,Chad Wild Clay,14500000,6531194335,669,Comedy,2006
641,EdisonPts,14500000,6090258521,3571,Gaming,2013
642,Yoeslan,14500000,12218689931,404,Entertainment,2020
643,LEGENDA FUNK,14500000,1314916113,2389,Music,2013
644,Drawblogs,14500000,1712621922,400,Entertainment,2014
645,Fifth Harmony,14500000,7729323881,67,Music,2013
646,Martin Garrix,14500000,5781932607,342,Music,2011
647,Boram Tube ToysReview [보람튜브 토이리뷰],14500000,4970086311,591,People & Blogs,2016
648,Daily Dose Of Internet,14500000,4759610926,451,Entertainment,2015
649,Hongyu ASMR 홍유,14500000,4731422538,585,People & Blogs,2018
650,FC Barcelona,14500000,2392738126,10386,Sports,2006
651,Gyan Gamingㅤ,14500000,2170163026,2759,Gaming,2017
652,Maroon5VEVO,14500000,19451808105,143,Music,2009
653,SelenaGomezVEVO,14500000,10808395899,186,Music,2009
654,Jake Fellman,14400000,11093115317,425,Entertainment,2012
655,Hear This Music,14400000,8912503027,39,Music,2016
656,Kim Loaiza,14400000,1345839890,15,Music,2019
657,Super Polina,14400000,4769579782,544,People & Blogs,2014
658,A2 Motivation by Arvind Arora,14400000,5733132609,2061,Entertainment,2017
659,ช่อง8 : Thai Ch8,14400000,5638664089,24388,Entertainment,2011
660,DM - Desi Melodies,14400000,5388394805,55,Music,2017
661,Mohamed Ramadan I محمد رمضان,14400000,4967167049,601,People & Blogs,2014
662,Jordan Matter,14400000,4549054595,387,Entertainment,2006
663,Rclbeauty101,14400000,3882397491,462,Comedy,2010
664,Cyprien,14400000,3055947897,212,Comedy,2007
665,انصالة فاميلي I أنس و أصالة,14400000,3016401555,395,Entertainment,2017
666,Bispo Bruno Leonardo,14400000,2668391636,4175,Nonprofits & Activism,2016
667,CrashCourse,14400000,1766841770,1458,Education,2006
668,ГЛЕНТ,14300000,1298647040,272,People & Blogs,2019
669,Mazhavil Manorama,14300000,15032205882,78669,Entertainment,2011
670,50 Cent,14300000,9326000286,417,Music,2007
671,SIS vs BRO,14300000,6880342887,358,Entertainment,2016
672,Трум Трум,14300000,6593621634,2108,Howto & Style,2015
673,SRK MUSIC,14300000,5941101813,4971,Music,2012
674,Camila Loures,14300000,4404726516,3688,Music,2014
675,Rosanna Pansino,14300000,4374008476,1106,Howto & Style,2010
676,Auron,14300000,3019345430,838,People & Blogs,2013
677,5-Minute Crafts Recycle,14200000,8280623350,3266,People & Blogs,2019
678,Invento na Hora,14200000,3954915463,1232,Film & Animation,2014
679,Doc Tops,14200000,2516908404,457,Entertainment,2014
680,Disney Junior,14200000,13991553391,3643,Entertainment,2008
681,KOMPASTV,14200000,10910667115,245453,News & Politics,2013
682,MNCTV OFFICIAL,14200000,7683242415,58581,Entertainment,2012
683,Infobells Bangla,14200000,6926902432,309,Education,2016
684,Saad Lamjarred | سعد لمجرد,14200000,4115740719,158,Music,2012
685,The MriDul,14200000,4047724263,98,Comedy,2015
686,#Refugio Mental,14100000,3544300212,764,Entertainment,2013
687,NikkieTutorials,14100000,1672330718,866,Howto & Style,2008
688,Mis Pastelitos,14100000,2514596947,556,Howto & Style,2014
689,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3210551602,769,Sports,2011
690,Мастерская Настроения,14100000,3808039710,963,Entertainment,2013
691,MalumaVEVO,14100000,18436716176,177,Music,2011
692,Aadishakti Films,14100000,6102779731,4706,Music,2016
693,Katakit Baby TV,14100000,5811945530,196,Music,2010
694,Trap City,14100000,5004580463,2638,Music,2012
695,melanie martinez,14100000,4028748305,96,Music,2007
696,Harry Styles,14000000,5083756024,14,People & Blogs,2017
697,Zig & Sharko,14000000,8683956869,898,Film & Animation,2015
698,PrestonPlayz,14000000,5195437365,801,Gaming,2018
699,AM3NlC,14000000,4889142949,5614,Gaming,2012
700,Like Nastya Stories,14000000,6638937132,418,Entertainment,2019
701,ABC News,14000000,12266150289,76462,News & Politics,2006
702,O Reino Infantil,14000000,10518046735,1120,Music,2014
703,Telemundo,14000000,8202234385,18798,Entertainment,2007
704,TazerCraft,14000000,5488153625,4066,Gaming,2011
705,Bie The Ska,14000000,4498785156,1448,Entertainment,2006
706,Juliana Baltar,14000000,3485653689,1669,Entertainment,2010
707,GMM25Thailand,14000000,8821803304,60211,Entertainment,2011
708,Neha Kakkar,13900000,1966260662,146,Music,2012
709,PowerfulJRE,13900000,2674135169,887,People & Blogs,2013
710,Ishaan Ali 11,13900000,8835220816,710,People & Blogs,2016
711,ماشا و الدب,13900000,7223914427,844,Shows,2017
712,tuzelity SHUFFLE,13900000,6142842116,782,People & Blogs,2015
713,DangMattSmith,13900000,3219797084,1534,Entertainment,2011
714,NOBRU,13900000,261499585,427,Gaming,2016
715,T-Series Hamaar Bhojpuri,13900000,6846976290,9548,Entertainment,2011
716,Darkar Company Studios,13800000,2214543452,178,Film & Animation,2009
717,ZEE5,13800000,17189678828,89656,Entertainment,2018
718,Sony Music South,13800000,8549020227,2275,Music,2014
719,Ray William Johnson,13800000,8202521798,1535,Entertainment,2008
720,Wish 107.5,13800000,5658398807,1673,Music,2014
721,ADEL et SAMI,13800000,5216526296,422,Entertainment,2018
722,Coke Studio,13800000,3692221584,560,Music,2014
723,Narins Beauty,13800000,2147505352,422,Howto & Style,2014
724,MAIKI021,13700000,1916175410,3162,Entertainment,2008
725,TV Ana Emilia,13700000,4525713851,577,People & Blogs,2014
726,FFUNTV,13700000,10608345270,376,Gaming,2018
727,Danny Fitt,13700000,8122982712,1869,People & Blogs,2016
728,BBC News,13700000,4248150214,17513,News & Politics,2006
729,Narendra Modi,13700000,2800240852,18491,News & Politics,2007
730,Wengie,13600000,1889199744,414,Howto & Style,2010
731,PlayHard,13600000,2019571122,2211,Gaming,2014
732,StudyIQ IAS,13600000,3504832993,39036,Education,2015
733,Gallina Pintadita,13600000,9268704548,61,Music,2011
734,Wesley Safadão,13600000,7726422032,421,Music,2009
735,Crazy Frog,13600000,7399861178,37,Music,2009
736,infobells,13600000,5075166188,468,Education,2011
737,123 GO! Spanish,13600000,4871205567,420,People & Blogs,2019
738,MyMissAnand,13500000,4752029228,301,People & Blogs,2014
739,Atlantic Records,13500000,11999986364,1492,Music,2006
740,dednahype,13500000,13757629009,1210,Comedy,2020
741,ETV Jabardasth,13500000,12789057206,8540,People & Blogs,2015
742,Sony LIV,13500000,6516846097,9792,Entertainment,2014
743,FAPTV,13500000,5234144005,679,Comedy,2014
744,Lindsey Stirling,13500000,3659466058,197,Music,2007
745,The World Adventures हिन्दी,13500000,2129901800,935,People & Blogs,2016
746,JD Pantoja,13500000,1426482050,16,People & Blogs,2017
747,Netflix Jr.,13400000,8144734008,1733,Education,2012
748,Поззи,13400000,6631847487,3116,People & Blogs,2012
749,Rebecca Zamolo,13400000,5504071291,903,Comedy,2011
750,AzzyLand,13400000,6130084420,1629,Gaming,2015
751,Desi Gamers,13400000,2030227951,1315,Gaming,2015
752,H2ODelirious,13300000,4286767975,3286,Gaming,2007
753,Crescendo com Luluca,13300000,4646460697,1203,Entertainment,2015
754,T-Series Regional,13300000,4958656890,15041,Entertainment,2011
755,Veritasium,13300000,1958582942,350,Education,2010
756,Conor Maynard,13300000,2665397983,284,Music,2006
757,jbalvinVEVO,13300000,20219708239,235,Music,2010
758,Saturday Night Live,13300000,14095534282,8159,Entertainment,2013
759,The Q,13300000,4179824130,288,People & Blogs,2017
760,Kurt Hugo Schneider,13300000,3705891507,692,Entertainment,2007
761,Anaysa,13300000,3283873970,513,Howto & Style,2012
762,NishaMadhulika,13300000,2795305843,2104,Howto & Style,2009
763,BBC,13200000,9296738948,14156,Pets & Animals,2005
764,Zee Telugu,13200000,9265994462,104189,Entertainment,2008
765,karameeshchannel,13200000,8883292835,2178,Entertainment,2012
766,Meghan Trainor,13200000,7822230597,148,People & Blogs,2008
767,theRadBrad,13200000,5932290734,7961,Gaming,2006
768,Jazzghost,13200000,5078316051,5312,Gaming,2012
769,VexTrex,13100000,7736404007,3500,Entertainment,2014
770,Brawl Stars,13100000,1944961599,155,Gaming,2017
771,Matt Steffanina,13100000,3140352689,523,Entertainment,2011
772,JOJO TV - Hindi Stories,13100000,4955237714,1006,Education,2016
773,Typical Gamer,13100000,4072134308,4069,Gaming,2008
774,أترو/Atro,13100000,2244181201,1712,Gaming,2017
775,O Que Não Dizer Oficial,13100000,1723601563,574,Comedy,2015
776,Jamuna TV,13100000,10958457763,97033,News & Politics,2017
777,Kids TV India Hindi Nursery Rhymes,13100000,6194817833,1272,Shows,2014
778,The LaBrant Fam,13100000,4577161512,595,Comedy,2012
779,ATHLEAN-X™,13100000,2233627821,1314,Howto & Style,2006
780,DALLMYD,13100000,1773415670,393,Sports,2011
781,Alex Gonzaga Official,13100000,1360273293,252,People & Blogs,2017
782,Come Play With Me,13100000,15474314657,386,Entertainment,2014
783,Lady Diana,13100000,7814517029,1346,Entertainment,2016
784,sagar kalra (Shorts),13000000,5483428689,401,People & Blogs,2017
785,Think Music India,13000000,9958947026,4452,Music,2009
786,Hacksmith Industries,13000000,1408649134,791,Science & Technology,2006
787,Matheus Yurley,13000000,139450407,68,Entertainment,2015
788,CookingShooking Hindi,13000000,1684387848,393,People & Blogs,2017
789,Mythpat,13000000,2792917860,337,Entertainment,2018
790,Calon Sarjana,13000000,10664585,29,Entertainment,2016
791,Everson Zoio,13000000,1004312062,594,Comedy,2009
792,Zee Bangla,13000000,8095947007,101353,Entertainment,2008
793,RedeTV,13000000,5243538335,33816,Entertainment,2011
794,twenty one pilots,13000000,4940473759,182,Music,2009
795,Ei Nerd,13000000,3398836213,5651,Entertainment,2013
796,Goldmines Premiere,13000000,1781566597,653,Entertainment,2013
797,DJ Khaled,12900000,6405935489,59,Music,2018
798,Mrwhosetheboss,12900000,2522365187,1488,Science & Technology,2011
799,Top Viral Talent,12900000,3847800217,1865,Entertainment,2014
800,EnriqueIglesiasVEVO,12900000,15018595817,136,Music,2009
801,Colors Rishtey,12900000,10739183295,18371,Entertainment,2013
802,RS 1313 SHORTS,12900000,6767680381,4660,Entertainment,2020
803,Компот,12900000,6687118830,2025,Gaming,2013
804,Lana Del Rey,12900000,6183850559,40,Music,2011
805,Awakening Music,12900000,5196501306,745,Music,2006
806,Hungria Hip Hop,12900000,4296055045,50,Music,2013
807,The Shiny Peanut,12900000,2840870688,2337,Education,2016
808,DeGoBooM,12900000,5257749726,3394,Gaming,2014
809,Peppa Pig em Português Brasil - Canal Oficial,12800000,4055556450,1231,Film & Animation,2014
810,BeyoncéVEVO,12800000,13662997727,169,Music,2009
811,#Refúgio Mental,12800000,2659524359,819,Entertainment,2013
812,Trakin Tech,12800000,2024906006,3450,Science & Technology,2011
813,Kabita's Kitchen,12800000,2516352711,1329,Howto & Style,2014
814,BIBO와 장난감,12800000,3085412541,170,Entertainment,2016
815,7 Minutoz,12800000,4153844467,521,Music,2012
816,Knowledge Tv हिन्दी,12800000,1768376077,1692,People & Blogs,2014
817,MrSuicideSheep,12800000,6857230232,3338,Entertainment,2010
818,Ami Rodriguez,12800000,2081891117,377,Entertainment,2009
819,E-MasterSensei,12800000,3587873026,1228,Gaming,2016
820,Geo News,12800000,4925451240,172983,News & Politics,2007
821,GMA News,12800000,11220255933,342802,News & Politics,2007
822,Codiscos,12800000,10763457454,7174,Music,2007
823,Blockbuster Movies,12800000,2515063658,463,Entertainment,2016
824,TV9 Bharatvarsh,12800000,8736936076,233127,People & Blogs,2018
825,The Dodo,12800000,8683276984,7397,Pets & Animals,2014
826,Luli Pampín,12800000,7128616807,246,Music,2012
827,The Infographics Show,12800000,4872169397,3817,Education,2011
828,Lokdhun Punjabi,12800000,4552563710,1400,Music,2010
829,Sonotek Bhakti,12800000,3902273032,7752,Entertainment,2010
830,Indore Physical Academy,12800000,3624179675,1512,People & Blogs,2014
831,Wolfoo Channel,12800000,3384474222,623,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2019
832,Yudist Ardhana,12700000,4862085005,2414,Entertainment,2016
833,RaptorGamer,12700000,2704763663,1303,People & Blogs,2016
834,Kids Line♡キッズライン,12700000,11198318568,2783,People & Blogs,2011
835,JesseAndMike,12700000,9481436539,656,Entertainment,2007
836,Влад и Никита,12700000,7751585555,449,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2018
837,Troom Troom India,12700000,6608476174,2199,Howto & Style,2015
838,My Mate Nate,12700000,3008638341,1107,Comedy,2014
839,gymvirtual,12700000,2430526081,1500,Sports,2010
840,Davie504,12600000,2498175486,806,Entertainment,2011
841,NickiMinajAtVEVO,12600000,8617068421,98,Music,2010
842,Луномосик,12600000,5848562902,538,People & Blogs,2015
843,Blossom,12600000,4527850608,674,Howto & Style,2017
844,Adexe & Nau,12600000,4514074611,582,Music,2013
845,BanderitaX,12600000,3690336615,1559,Gaming,2013
846,Technology Gyan,12600000,1031637100,969,Science & Technology,2015
847,Health Time,12600000,992361227,1687,Howto & Style,2016
848,Melon City Show - برنامج ولاية بطيخ,12600000,5692761946,1715,Comedy,2016
849,WiederDude,12500000,2454705246,281,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2016
850,elliegoulding,12500000,6751007251,155,Music,2007
851,TKOR,12500000,3361880534,1481,Education,2010
852,Vogue,12500000,3776103044,2877,Entertainment,2008
853,Ja Mill,12500000,1302818088,567,People & Blogs,2016
854,Priyal Kukreja,12500000,7984381092,613,People & Blogs,2021
855,Little Baby Bum en Español,12500000,6850021546,1316,Education,2014
856,Republic Bharat,12500000,5973835941,64600,News & Politics,2019
857,Parafernalha,12500000,4582763542,1721,Entertainment,2011
858,Talking Angela,12500000,3433210811,217,Entertainment,2014
859,CaseyNeistat,12500000,3107426903,1089,People & Blogs,2010
860,Piuzinho,12500000,1054626166,478,Gaming,2015
861,SAAIHALILINTAR,12500000,1108603203,408,Entertainment,2012
862,Jass Records,12500000,5649739561,4968,Music,2014
863,LOUD,12400000,2358986498,1155,Gaming,2019
864,Koray Zeynep,12400000,14695012005,12655,People & Blogs,2016
865,Heidi and Zidane HZHtube,12400000,3606270407,681,Entertainment,2015
866,DisneyChannelUK,12400000,11821116201,3284,Music,2007
867,Rauw Alejandro,12400000,10418976938,141,Music,2014
868,Future,12400000,9328021218,59,Music,2011
869,Just For Laughs Gags,12400000,7886065029,7278,Comedy,2007
870,Heroindori,12400000,6487369114,336,Comedy,2020
